LOs,Sub-Topic,Topic,Subject,Type,Module,Assessment
"Structure and function of cell membrane
",Cell Membrane,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Describe the Biochemistry composition of the membrane,Cell Membrane,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Name major Lipids and their functions,Cell Membrane,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Explain the Fluid Mosaic Model of cell with Diagram,Cell Membrane,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Describe pH and pH scale: Concept of pH and related topics (determination of pH), and concept of pi (Isoelectric pH)","Water, pH and Buffers",Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Define pKa value, dissociation constant (ka) and titration curve of weak acids","Water, pH and buffers",Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Describe determination of pH buffer: Henderson-Hasselbalch equation and its applications (Derivation not required),"Ionization of water, weak acids and bases",Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Evaluate body buffer systems (Bicarbonate, ammonia, phosphate, and proteins) and their mechanism of action",Body buffer systems,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Define Homeostasis, describe homeostatic mechanism and body system contribution to homeostasis",Homeostasis,Cell and Genetics,Physiology,Major Subject,Foundation-1 Module,MCQS
"Describe the characteristics of control systems. Describe Negative feedback, positive feedback and feed forward mechanism",Control systems of the body,Cell and Genetics,Physiology,Major Subject,Foundation-1 Module,MCQS
Define and classify cell junctions. Explain structure of each type of cell junctions. Discuss importance of each type of cell junction in relation to its location,Cell Junctions,Cell and Genetics,Physiology,Major Subject,Foundation-1 Module,MCQS
Classify cell surface modifications and explain structure of each,Cell surface Modifications,Cell and Genetics,Histology,Major Subject,Foundation-1 Module,MCQS
Describe chemistry of purines and pyramidines; their types and structure. Describe tautomerism and predominant tautomeric forms in nucleic acids. Describe different linkages in nucleotides and their roles. Describe predominant conformers with respect to stearic hinderance,Nucleotides and Nucleic acid (purines 1),Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Discuss structure and function of nucleotides and nucleosides (excluding metabolism of nucleotides),Nucleotides and Nucleic acids (purines 2),Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
